date_iso,date_display,source,rating,rating_basis,sentiment,vader_compound,themes,title,job_title,location,employment,pros,cons,body,advice
2025-06-07,"Jun 07, 2025",Glassdoor,5.0,glassdoor_overall,positive,0.7003,Pay & Benefits,Good - suggested,Accountant,Indore,"Current employee, more than 1 year",Good work environment and salary,Location is slightly far away,,
2025-07-12,"Jul 12, 2025",Indeed,,none,neutral,-0.1027,Management & Leadership; Micromanagement & Surveillance; Work Conditions & Safety,The Worst,Patient Coordinator,,,,,"/Receptionist Micromanagement all the way from the top. Do not work here. If you are currently there, run away. To top it all of the office AC does not even work. There is always issues with the restroom as well.",
2025-08-12,"Aug 12, 2025",Glassdoor,1.0,glassdoor_overall,negative,-0.6908,Micromanagement & Surveillance; Pay & Benefits,Terrible. Stay away,Anonymous employee,,"Current employee, less than 1 year",Mileage pay That’s all I can think about,Rules are always changing Not a sustainable job Burn out is real,,Stop micromanaging
2025-08-16,"Aug 16, 2025",Indeed,1.0,indeed_topics,negative,0.8946,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Training & Onboarding; Communication & Organization; Meaningful / Patient Work; Work Conditions & Safety,The Office Has Fleas as of August 2025,Lead Care Manager,"San Diego, CA",,"Staff are very nice, The people we assist are great","Management constantly pressuring LCMs on their metrics, Ignoring the community aspect of our job","A typical day at work: Answer calls, complete care plans, and follow up with members, all while navigating unclear instructions, last-minute changes, and communication breakdowns between supervisors, management, and the staffing agency. Some days included working in unsafe conditions (e.g., flea infestation) with no accommodations. What you believe you learned: How to stay adaptable and keep performing despite poor communication, lack of support, and unequal treatment. I learned to advocate for myself and others, even in an environment that discourages open feedback. Management: Overloaded supervisors due to poor scheduling. Some managers were condescending and dismissive, prioritizing metrics over employee well-being. The COO often undermined supervisors instead of providing clear direction. Workplace culture: A culture of inequality between direct hires and CSL employees, with empty claims of “everyone is equal.” Little genuine concern for staff health or morale. Communication issues were recognized internally but never addressed effectively. The hardest part of the job: Working under inconsistent and unclear leadership while being excluded from benefits and incentives that direct hires received, and dealing with unsafe work conditions. The most enjoyable part of the job: Helping members and knowing the work had a real impact on the community, even if leadership’s priorities didn’t reflect that mission.",
2025-09-12,"Sep 12, 2025",Glassdoor,1.0,glassdoor_overall,negative,0.3926,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Culture & Toxicity,Micromanaging condescending upper management,Lcm,,"Current employee, less than 1 year",You get to help the less fortunate and the mileage reimbursement,"Micromanaging..they have cameras in the office and break room and upper management watches and tell site manager what’s going on. You have 5 tasks all due at the same and have to documented, some health companies require double documentation. The micromanaging is overkill",,To become a lead but you get 10 tasks assigned at the same time and due all at the same time
2025-09-22,"Sep 22, 2025",Indeed,2.4,indeed_topics,negative,0.966,Management & Leadership; Micromanagement & Surveillance; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work,Overall good job but management ruins it,Lead Case Manager,"San Diego, CA",,Co-workers,Management,"The job itself is great, you’re always occupied, time goes by quickly, and the work is very rewarding. I genuinely love what I do. Unfortunately, management makes the experience difficult. They micromanage to an extreme level, even when you’re doing excellent work and staying on top of things, which feels unnecessary. At times, they will get you in trouble over the smallest issues, which is demotivating and, I believe, one of the main reasons people quit. You might really enjoy the job in your first week, but after a while, you start to realize how poor some of the management can be. It’s not every one of them, but a few of them have ruined the experience for me, which is disappointing because I used to love working here. Co-workers are the best part of the job though.",
2025-10-31,"Oct 31, 2025",Indeed,3.2,indeed_topics,neutral,0.959,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Meaningful / Patient Work,Upper management micromanagement,Lead Care Manager,,,"If you’re empathetic and love helping others, this is a good field","Upper management micromanagement, they have cameras in the office for upper management to listen and watch","/Enhanced Care Manager Los Angeles, CA Upper management micromanages. Heavy case load, you have to make calls, put notes in, have in person visits with members, along with other assignments. You never really have time to help members with their requests for medical assistance (such as helping members find a pcp, dentists, accompany members to Dr appointments)",
2025-11-16,"Nov 16, 2025",Indeed,,none,neutral,-0.0799,Workload & Burnout,Accommodating but stressful,Therapist,,,,,Supervision is very helpful. They work with you if you are willing to work with them. Case Load can be a bit high in order to account for no-shows.,
2025-11-24,"Nov 24, 2025",Glassdoor,1.0,glassdoor_overall,negative,0.8803,Management & Leadership; Culture & Toxicity; Career Growth & Advancement; Communication & Organization,Management/Supervisors need replacement,Lead care manager,"San Ramon, CA","Current employee, less than 1 year",There are no Pros at Serene,Leadership does not model the values they promote. Favoritism influences senior roles and decisions. Site managers misuse staff for relaying disciplinary messages. Poor planning leads to last-minute meetings and canceled appointments. Member care is claimed as a priority but not practiced. Unprofessional behavior from managers during calls. Supervisors misinterpret accountability as disrespect. HR provides inconsistent guidance and does not model professionalism,,"Hello everyone, I’ve taken time away to reflect on my experience at Serene, The values Serene promotes are not reflected in its leadership. Favoritism, unprofessional behavior, poor planning, and a lack of accountability have made it clear this environment won’t change. To those who work with integrity every day—you deserve better"
2025-12-11,"Dec 11, 2025",Indeed,,none,neutral,0.2263,Management & Leadership; Micromanagement & Surveillance; Meaningful / Patient Work,Micromanaging,Anonymous,,,,,"This is a great place if you love helping people, but upper management ruins it by micromanaging everything you do. You start on a 90 day probationary period, and they have very strict rules.",
